name,phoneNumber,amount,operatorName,countryCode
Dawn Richardson,25479564426,227,Airtel Kenya,KE
Erika Horton,25470331368,83,Airtel Kenya,KE
Derrick Arnold,25470296901,156,Telkom Kenya,KE
Kristin Hall,25476312976,436,Airtel Kenya,KE
Vicki Brown,25479825393,129,Airtel Kenya,KE
Vickie Avila,25470524734,113,Safaricom Kenya,KE
Rachel Payne,25478397498,367,Airtel Kenya,KE
Karen Anderson,25478718727,285,Telkom Kenya,KE
Michelle Wilkerson,25470563376,165,Telkom Kenya,KE
Gregory Martinez,25479565129,492,Safaricom Kenya,KE
Tammy Byrd,25477867805,205,Safaricom Kenya,KE
Karen Brown,25478681007,126,Safaricom Kenya,KE
Carla Smith,25474407949,171,Airtel Kenya,KE
Katelyn Sanchez,25477211903,142,Airtel Kenya,KE
Thomas Woodard,25471966300,114,Airtel Kenya,KE
David Allen,25470485696,291,Airtel Kenya,KE
Brooke Johnson,25479931641,72,Telkom Kenya,KE
Patricia Whitaker,25476948332,380,Telkom Kenya,KE
Mary Khan,25476392294,376,Telkom Kenya,KE
Kelly Larsen,25479222552,73,Airtel Kenya,KE
Kimberly Bowen,25479328682,260,Safaricom Kenya,KE
Terry Daniel,25473731054,306,Telkom Kenya,KE
Andrea Johnson,25474815501,86,Airtel Kenya,KE
Isaac Key,25473598552,365,Airtel Kenya,KE
Taylor Krueger,25474295450,468,Safaricom Kenya,KE
David Lang,25473717478,216,Airtel Kenya,KE
Kristen Hayes,25470753459,129,Safaricom Kenya,KE
Mary Hamilton,25479880668,200,Telkom Kenya,KE
Renee Hendrix,25479716874,184,Airtel Kenya,KE
Lance Booker,25476673193,305,Telkom Kenya,KE
Meghan Alvarez,25472623990,421,Airtel Kenya,KE
Jason Ray,25477485058,108,Safaricom Kenya,KE
Alex Ramsey,25473160246,118,Airtel Kenya,KE
Michael Nguyen,25475142153,296,Telkom Kenya,KE
Stephanie Carter,25473445735,93,Safaricom Kenya,KE
Danielle Valdez,25478271190,151,Safaricom Kenya,KE
Alexis Rodriguez,25473651842,281,Airtel Kenya,KE
Alexis Mathis,25474200562,268,Safaricom Kenya,KE
Alicia Jordan,25472510354,103,Telkom Kenya,KE
Mark Williams,25479918408,141,Telkom Kenya,KE
Mrs. Amber Holmes,25475928226,496,Airtel Kenya,KE
Benjamin Nichols,25478171986,284,Telkom Kenya,KE
Jonathan Morales,25473944465,424,Airtel Kenya,KE
Michelle Davis,25479822744,268,Safaricom Kenya,KE
Mariah Manning,25476877378,443,Safaricom Kenya,KE
Derek Maddox,25471148207,274,Safaricom Kenya,KE
Crystal Alvarez,25478776587,445,Airtel Kenya,KE
Melanie Johnson,25474770040,50,Airtel Kenya,KE
Kathryn Ramirez,25470820353,117,Airtel Kenya,KE
Caroline Rice,25472601127,103,Telkom Kenya,KE
Dawn Baker,25478162895,122,Telkom Kenya,KE
Mark Levy,25473217879,313,Telkom Kenya,KE
Benjamin Knight,25474458305,218,Airtel Kenya,KE
Kenneth Collins,25470783871,163,Safaricom Kenya,KE
Roger Rivera,25473488812,237,Safaricom Kenya,KE
Rita Smith,25477472713,419,Airtel Kenya,KE
Michael Garcia,25471227408,231,Airtel Kenya,KE
Brent Stevens,25477940940,227,Safaricom Kenya,KE
Nathan Haynes,25471308437,304,Safaricom Kenya,KE
Brandi Lozano,25471981358,325,Airtel Kenya,KE
Amy Banks,25476897020,231,Airtel Kenya,KE
Sherry Singh,25472383128,198,Safaricom Kenya,KE
Stacey Garrett,25479524924,480,Safaricom Kenya,KE
Pamela Harris,25470985210,316,Airtel Kenya,KE
Michael Robbins,25472107541,498,Airtel Kenya,KE
Robert Miller,25478197079,168,Telkom Kenya,KE
Vickie Smith,25474606921,452,Safaricom Kenya,KE
Andrea Li,25475935063,162,Airtel Kenya,KE
Jason Saunders,25478865627,420,Telkom Kenya,KE
Steven Fowler,25475915216,144,Telkom Kenya,KE
William Moore,25476817284,324,Safaricom Kenya,KE
Antonio Cannon,25473600799,117,Safaricom Kenya,KE
Luis Walker,25474931959,349,Airtel Kenya,KE
Hector Taylor,25470194768,378,Safaricom Kenya,KE
Brian Sanchez,25474280108,425,Telkom Kenya,KE
James Chandler,25478188293,364,Telkom Kenya,KE
Noah Caldwell,25478264541,433,Telkom Kenya,KE
Kayla Anderson,25473490124,329,Telkom Kenya,KE
Jonathan Grant,25478627353,154,Airtel Kenya,KE
Andrew Walker,25477924892,113,Safaricom Kenya,KE
Terri Travis,25479714055,209,Safaricom Kenya,KE
Sonya Nunez,25472664052,268,Airtel Kenya,KE
Tara Barnes,25472893236,499,Airtel Kenya,KE
Justin Burch,25470525864,431,Telkom Kenya,KE
Jeffrey Long,25478432851,483,Safaricom Kenya,KE
Tammy Miller,25472426971,91,Airtel Kenya,KE
Lori Blanchard,25477865402,375,Telkom Kenya,KE
Trevor Mccoy,25471720042,267,Airtel Kenya,KE
Kristy Kennedy,25471295070,72,Airtel Kenya,KE
Joseph Clark,25475526551,84,Telkom Kenya,KE
Abigail Anderson,25474157404,218,Safaricom Kenya,KE
Matthew Vasquez,25473150167,151,Telkom Kenya,KE
Andrea Ramirez,25473458783,163,Airtel Kenya,KE
Diana Flores,25475113967,206,Telkom Kenya,KE
Charles Ewing,25477256741,83,Airtel Kenya,KE
Mary Ali,25472868351,209,Airtel Kenya,KE
Joseph Parrish,25473852788,252,Safaricom Kenya,KE
Manuel Garcia,25479576108,81,Safaricom Kenya,KE
Eileen Powell,25473781191,124,Telkom Kenya,KE
Katherine Horne,25479353657,142,Telkom Kenya,KE
Brooke Ramirez,25470630911,87,Airtel Kenya,KE
Kayla Stanton,25479101201,258,Airtel Kenya,KE
Alejandro Nunez,25478298111,85,Airtel Kenya,KE
Caitlin Cummings,25471901196,354,Telkom Kenya,KE
Amber Miller,25479836370,384,Telkom Kenya,KE
Bianca Harrison,25472212835,50,Telkom Kenya,KE
Susan Velasquez,25475338028,204,Safaricom Kenya,KE
Christian Bryant,25471378030,331,Safaricom Kenya,KE
Andrew Wilson,25470265312,360,Telkom Kenya,KE
Cassandra Patrick,25476933471,289,Safaricom Kenya,KE
Cheryl Nelson,25476585236,441,Airtel Kenya,KE
Bethany Holmes,25470468285,349,Telkom Kenya,KE
Michelle Murphy,25478710117,88,Telkom Kenya,KE
Kelly Johnson,25473403087,65,Safaricom Kenya,KE
Steven Dudley,25475971496,154,Telkom Kenya,KE
Pamela Robinson,25471605873,226,Safaricom Kenya,KE
Dana Sawyer,25479957815,274,Safaricom Kenya,KE
Mark Ramirez,25472445045,383,Telkom Kenya,KE
Dawn Molina,25479613679,456,Telkom Kenya,KE
Lauren Li,25473412005,70,Telkom Kenya,KE
Daniel Robinson,25472139842,322,Safaricom Kenya,KE
Kathryn Walker,25473850525,156,Airtel Kenya,KE
James Hoffman,25475186624,364,Telkom Kenya,KE
Adrienne Johnson,25479645470,116,Telkom Kenya,KE
Deborah Blackburn,25475686469,397,Telkom Kenya,KE
Joshua Carroll,25471713773,292,Telkom Kenya,KE
William Frank,25477561205,225,Safaricom Kenya,KE
Courtney Reed,25474986239,150,Airtel Kenya,KE
Nicole Brooks,25478106687,380,Airtel Kenya,KE
Anthony Reid,25479480928,157,Safaricom Kenya,KE
Marcus Bowers,25479673976,111,Airtel Kenya,KE
Natalie Klein,25471414150,320,Airtel Kenya,KE
Yesenia Zhang,25470650258,340,Airtel Kenya,KE
Connie Green,25473528848,460,Safaricom Kenya,KE
Shannon Young,25475580040,272,Safaricom Kenya,KE
Susan Powers,25470711130,273,Airtel Kenya,KE
Jenny Williams,25471255903,423,Airtel Kenya,KE
Adrian Rodgers,25478368927,280,Safaricom Kenya,KE
Robert Day,25477525955,98,Telkom Kenya,KE
Joyce Allen,25476281890,111,Telkom Kenya,KE
Kelsey Ortiz,25477323182,91,Airtel Kenya,KE
Peter Keller MD,25475195917,490,Safaricom Kenya,KE
Jose Armstrong,25470673976,372,Telkom Kenya,KE
Matthew Jones,25474370188,299,Airtel Kenya,KE
James Nelson,25472639776,105,Safaricom Kenya,KE
Kevin Cooper,25470156475,406,Safaricom Kenya,KE
Bryan Bradley,25470196230,173,Telkom Kenya,KE
Austin Wilson,25471797830,124,Safaricom Kenya,KE
Nicole Robinson,25477992403,396,Airtel Kenya,KE
Ms. Briana Hayes,25478790449,223,Telkom Kenya,KE
Jennifer Simpson,25476705495,57,Telkom Kenya,KE
Mr. Darrell Maynard,25479439173,266,Safaricom Kenya,KE
Ricky Dean,25479778040,216,Airtel Kenya,KE
Patricia Duncan,25470626287,109,Safaricom Kenya,KE
David Parsons,25479846016,219,Safaricom Kenya,KE
Donald Gonzalez,25470842889,356,Safaricom Kenya,KE
Christina Ward,25474286625,369,Airtel Kenya,KE
Mrs. Meredith Gray,25476241569,245,Safaricom Kenya,KE
Charles Newton,25476574094,382,Safaricom Kenya,KE
Patricia Wright,25476210938,378,Airtel Kenya,KE
Joshua Hayden,25477111082,295,Telkom Kenya,KE
Sophia Roberts,25473240406,355,Telkom Kenya,KE
Christopher Moore,25477207209,356,Airtel Kenya,KE
Jennifer White,25479545666,341,Airtel Kenya,KE
Alexis Henderson,25471313199,254,Airtel Kenya,KE
Elizabeth Mitchell,25470756504,189,Telkom Kenya,KE
Samuel Fisher,25474645644,407,Safaricom Kenya,KE
Michael Pierce,25479236722,257,Airtel Kenya,KE
Alexander Weber,25472853231,399,Airtel Kenya,KE
Christopher Adams,25476959640,400,Telkom Kenya,KE
Phillip Alvarez,25476782858,160,Telkom Kenya,KE
Patricia Richmond,25478944222,465,Safaricom Kenya,KE
Jennifer Smith,25477274860,295,Safaricom Kenya,KE
Joseph Gomez,25475651798,230,Telkom Kenya,KE
Douglas Lee,25476962016,206,Telkom Kenya,KE
Laura Ross,25473245509,380,Airtel Kenya,KE
David Gonzalez,25474867982,90,Telkom Kenya,KE
Melissa Williams,25478162211,337,Telkom Kenya,KE
Amy Perez PhD,25474847227,249,Safaricom Kenya,KE
Duane Simpson,25475278217,381,Airtel Kenya,KE
Samantha Wheeler,25472656795,465,Telkom Kenya,KE
Terry Ewing,25479470413,163,Telkom Kenya,KE
Bradley Green,25470568279,118,Airtel Kenya,KE
Daniel Thompson,25473940470,114,Telkom Kenya,KE
Brandon Barajas,25473484847,419,Airtel Kenya,KE
Olivia Allen,25471359298,289,Airtel Kenya,KE
Frederick Mckee,25471927284,391,Airtel Kenya,KE
Jessica Payne,25470570330,403,Telkom Kenya,KE
Chloe Baker,25470647483,428,Telkom Kenya,KE
Michael Hendricks,25471670852,57,Safaricom Kenya,KE
Brittany Erickson,25473869273,463,Safaricom Kenya,KE
Bill Jackson,25470790122,296,Safaricom Kenya,KE
Carlos Dunn,25471195695,487,Airtel Kenya,KE
Michael Wagner,25471815510,480,Telkom Kenya,KE
Deborah Hill,25476833482,209,Airtel Kenya,KE
Joshua Stokes,25470876264,369,Telkom Kenya,KE
Dana Weber,25471145843,339,Airtel Kenya,KE
Mrs. Vanessa Silva MD,25471840473,332,Airtel Kenya,KE
Ricky Phillips,25479351531,69,Airtel Kenya,KE
Zachary Rivera,25475177668,96,Safaricom Kenya,KE
Shawn Knight,25471758127,190,Airtel Kenya,KE
Melanie Williams,25478442408,298,Telkom Kenya,KE
Kelly Thompson,25471744923,425,Airtel Kenya,KE
Robert Braun,25474251889,143,Safaricom Kenya,KE
Craig Frank,25479302404,441,Telkom Kenya,KE
Samantha Cain,25474448045,100,Safaricom Kenya,KE
Julie Willis,25476360645,141,Airtel Kenya,KE
Nicholas Robertson,25478794028,366,Airtel Kenya,KE
Jonathan Olson,25470998673,490,Airtel Kenya,KE
Aaron Vazquez,25478687415,148,Telkom Kenya,KE
Dr. James Esparza,25477467805,86,Safaricom Kenya,KE
Joseph Small,25475515190,174,Safaricom Kenya,KE
Michael Moore,25471821606,77,Telkom Kenya,KE
Kim Massey,25471583748,264,Safaricom Kenya,KE
Martha Lucas,25475157869,209,Airtel Kenya,KE
Lindsay Bailey,25470962776,230,Telkom Kenya,KE
Nina Gutierrez,25478883799,94,Airtel Kenya,KE
Gwendolyn Rodriguez,25476686113,451,Telkom Kenya,KE
Ronald Anderson,25470967185,344,Telkom Kenya,KE
Michelle Scott,25473740182,373,Safaricom Kenya,KE
Miguel Johnson,25470222387,395,Telkom Kenya,KE
Connor Bradshaw,25476679495,365,Telkom Kenya,KE
Melissa Hill,25477663905,274,Telkom Kenya,KE
Micheal Gibson,25478567767,99,Telkom Kenya,KE
Jeremy Wood,25478341029,314,Airtel Kenya,KE
Brandon Harris,25473211181,293,Telkom Kenya,KE
Kimberly Carrillo,25473829959,425,Safaricom Kenya,KE
John Hill,25477360208,344,Telkom Kenya,KE
John Gill,25471285319,434,Telkom Kenya,KE
Lisa Foster,25478300047,363,Safaricom Kenya,KE
Alejandro Ford,25476893882,189,Safaricom Kenya,KE
Carol Rogers,25477565054,67,Safaricom Kenya,KE
Ian Porter,25479135428,132,Airtel Kenya,KE
Randall Snyder,25474935447,83,Airtel Kenya,KE
James Ingram,25478341891,266,Telkom Kenya,KE
Rebecca Powell,25473314545,72,Airtel Kenya,KE
Tony Barron,25474968300,126,Telkom Kenya,KE
Stephanie Drake,25473468588,197,Safaricom Kenya,KE
Brian Mayer,25473109458,311,Safaricom Kenya,KE
Erin Ruiz,25470465980,346,Airtel Kenya,KE
Robert Jones,25472690551,436,Airtel Kenya,KE
Sharon Blake,25472999808,497,Telkom Kenya,KE
Marcia Clark,25470484283,156,Safaricom Kenya,KE
Haley Howell,25473755249,437,Airtel Kenya,KE
John Martin,25479572043,210,Airtel Kenya,KE
Jose Fitzpatrick,25476597424,247,Telkom Kenya,KE
Katherine Thompson,25479405926,320,Telkom Kenya,KE
Brittany Mosley,25470607813,295,Telkom Kenya,KE
Julie Zhang,25478301199,304,Telkom Kenya,KE
Peter Howard,25474811481,245,Telkom Kenya,KE
Emily Adams,25475283445,80,Telkom Kenya,KE
Johnathan Hensley,25475219364,407,Telkom Kenya,KE
Shane Jones,25471318166,432,Telkom Kenya,KE
Kevin Smith,25475301595,338,Safaricom Kenya,KE
Kimberly Stanton,25472767707,400,Airtel Kenya,KE
Alex Salas,25479131766,109,Telkom Kenya,KE
Christopher Thompson,25477120850,312,Safaricom Kenya,KE
Katrina Garcia,25476942274,123,Safaricom Kenya,KE
Richard Underwood,25474873887,437,Safaricom Kenya,KE
Carolyn Elliott,25478584318,146,Telkom Kenya,KE
Mrs. Sheri Smith PhD,25477241224,195,Safaricom Kenya,KE
Tara Hubbard,25479552830,105,Airtel Kenya,KE
Brittany Richardson,25478351793,387,Telkom Kenya,KE
Nicole Brown,25471310596,241,Airtel Kenya,KE
David Austin,25476203804,82,Safaricom Kenya,KE
Jerry Chavez,25479438028,462,Telkom Kenya,KE
Amber Cobb,25476281174,481,Safaricom Kenya,KE
Ian Williams,25473780493,259,Safaricom Kenya,KE
Mark Herring,25477797841,382,Telkom Kenya,KE
Christopher Murphy,25471113243,327,Airtel Kenya,KE
Tony Adams,25477962264,96,Airtel Kenya,KE
Mark Garcia,25470530002,261,Telkom Kenya,KE
Thomas Jimenez,25470739896,451,Telkom Kenya,KE
Brandi Little,25474492753,261,Safaricom Kenya,KE
Heather Conway,25475305425,105,Telkom Kenya,KE
Erin Harris,25472136383,50,Safaricom Kenya,KE
Yolanda Perry,25477739840,332,Telkom Kenya,KE
Brian Bell,25475572558,100,Airtel Kenya,KE
Joshua Parsons,25474367195,193,Safaricom Kenya,KE
Catherine Lee,25475154018,57,Safaricom Kenya,KE
Anthony Pearson,25474173159,275,Airtel Kenya,KE
Mark Smith,25473744268,126,Telkom Kenya,KE
Christopher Barrett,25474293289,392,Airtel Kenya,KE
Katherine Dean,25474323934,231,Airtel Kenya,KE
Elizabeth Jones,25474172903,500,Telkom Kenya,KE
Tina Miller,25470671770,297,Safaricom Kenya,KE
Nathan Johnson,25476511818,50,Safaricom Kenya,KE
Mr. Vincent Gordon,25471442555,399,Airtel Kenya,KE
Kirk Mitchell,25478823537,59,Airtel Kenya,KE
Kristy Foster,25473789726,380,Telkom Kenya,KE
Antonio Kirk,25473872590,479,Airtel Kenya,KE
Brandon Haney,25472641324,145,Safaricom Kenya,KE
Daniel Perez,25476359695,114,Airtel Kenya,KE
Andrea Bates,25478840913,456,Airtel Kenya,KE
Glenn Allen,25471283540,103,Airtel Kenya,KE
Kent Taylor,25478878371,401,Airtel Kenya,KE
Theresa Boyd,25476966546,324,Telkom Kenya,KE
Lauren Hanna,25474234378,69,Telkom Kenya,KE
Jennifer Hoffman,25475775644,342,Telkom Kenya,KE
Marissa Stewart,25477564741,245,Airtel Kenya,KE
Beth Contreras,25477600411,352,Safaricom Kenya,KE
Karen Conway,25475406598,408,Telkom Kenya,KE
Charles Guzman,25472759335,381,Airtel Kenya,KE
Linda Lane,25470281724,480,Safaricom Kenya,KE
Christopher Bell,25470706429,376,Safaricom Kenya,KE
Hailey Blake,25478154810,426,Airtel Kenya,KE
Anthony Brock,25476996891,235,Telkom Kenya,KE
Brandon Hansen,25470545415,65,Telkom Kenya,KE
Justin Lee,25479453964,56,Telkom Kenya,KE
Shawn Johnson,25476818201,223,Airtel Kenya,KE
Stephen Kane,25476676250,387,Airtel Kenya,KE
Austin Barrett DDS,25472823805,292,Telkom Kenya,KE
Michael Ross,25475969002,156,Safaricom Kenya,KE
Robert Butler,25472810603,263,Airtel Kenya,KE
Michelle Ford,25470645739,354,Safaricom Kenya,KE
Christine Davila,25471295347,301,Airtel Kenya,KE
Lorraine Sanchez,25473327259,183,Safaricom Kenya,KE
Jacqueline Brooks,25479369836,183,Airtel Kenya,KE
Benjamin Liu,25479418177,217,Safaricom Kenya,KE
Laura Simmons,25472867843,402,Safaricom Kenya,KE
Dawn Smith,25474496748,79,Telkom Kenya,KE
Shawn Klein,25477419602,436,Airtel Kenya,KE
Michael Williams,25478437927,491,Safaricom Kenya,KE
Lauren King,25476460876,481,Safaricom Kenya,KE
William Estrada,25472252678,373,Safaricom Kenya,KE
Teresa Johnson,25470595283,161,Airtel Kenya,KE
Larry Hendricks,25472630960,244,Airtel Kenya,KE
Mrs. Danielle Lambert,25475721565,212,Safaricom Kenya,KE
Elizabeth Moreno,25476450446,408,Safaricom Kenya,KE
Jasmine Cardenas,25479554158,309,Airtel Kenya,KE
Jason Swanson,25471588526,130,Safaricom Kenya,KE
Kathy Navarro,25475518366,430,Safaricom Kenya,KE
Veronica Harris,25478128697,213,Safaricom Kenya,KE
Robin Martin,25478745969,99,Telkom Kenya,KE
Wendy Flores,25479127681,252,Airtel Kenya,KE
Frank Freeman,25479343464,302,Safaricom Kenya,KE
Dr. Shawn Lopez,25477641132,478,Airtel Kenya,KE
Catherine Lee,25470801185,413,Airtel Kenya,KE
Michelle Bowman,25479716005,286,Airtel Kenya,KE
Amanda Jones,25474488703,266,Safaricom Kenya,KE
Helen House,25477864723,145,Telkom Kenya,KE
Dennis Moore,25474573259,156,Safaricom Kenya,KE
Mario Wilson,25473929332,181,Airtel Kenya,KE
Sheryl Ferguson,25472287677,113,Safaricom Kenya,KE
Linda Price,25473344050,97,Airtel Kenya,KE
Gregory Ho,25479945922,439,Telkom Kenya,KE
Diane Bruce,25473803044,163,Safaricom Kenya,KE
John Yoder,25470821790,97,Safaricom Kenya,KE
Amy Nichols,25477408315,216,Safaricom Kenya,KE
Ashley Rocha,25474502727,410,Airtel Kenya,KE
